English,Polish
resentfully,z urazą
reproachfully,z wyrzutem
fuzz,meszek
subcontinental,subkontynentalny
concomitant,towarzyszący
shunning,unikanie
unmyelinated,bezrdzenny
suborn,przekupić
flipping,wkurzający
unshaped,nieukształtowany
empty-headed,głupkowaty
obesogenic,powodujący tycie
unstandardized,niestandarowy
disjuncture,różnica(np. między teorią a praktyką)
tiredly,zmęczonym głosem
stand-down,wycofać się
superordinate,przełożony
forestation,zalesienie
circumscription,określenie
scold,karcić
unlawfulness,bezprawie
crozier,pastorał
nowise,bynajmniej
rusted-out,przerdzewiały
chastely,niewinnie
bareness,nagość
unruliness,niesforność
configurational,konfiguracyjny
didacticism,dydaktyzm
precipitately,pochopnie
whizzy,innowacyjny
foreperson,przewodniczący
flyswatter,packa na muchy
dull-witted,tępy
foamer,miłośnik
foul-up,wpadka
quirkily,ekscentrycznie
fictionally,fikcyjnie
dematerialize,dematerializować
firewater,woda ognista
laughing-stock,pośmiewisko
egoless,pozbawiony wielkiego ego
unamended,niepoprawiony
unimaginatively,banalnie
secularity,świeckość
sequela,następstwo
insensitively,niewrażliwie
siree,ależ(tak/nie)
immoderately,niepohamowanie
indefatigably,niestrudzenie
surpassingly,niezrównanie
wilfulness,upór
houseboy,służący
sophistic,sofistyczny
sententious,moralizatorski
misprision,zatajenie
maldistribution,zła dystrybucja
respectfulness,szacunek
unsurmountable,nie do pokonania
opportunely,dogodnie
fire-sale,gorąca wyprzedaż
contentiously,kłótliwie
inculturation,inkulturacja
scraggy,chudy
malodor,smród
pleadingly,błaganie
overdevelop,nadmiernie rozwijać
manufacturable,wyprodukowany
perseverant,wytrwałość
joyrider,kradzież samochodu dla zabawy
recognizability,rozpoznawalność
austerely,surowo
nictitating,mrugarnie
illegibility,nieczytelność
ludicrousness,absurdalność
pedantically,drobiazgowo
darksome,ciemny
permissibly,dopuszczalnie
wheeler-dealer,kombinator
submissiveness,uległość
pietistic,piedzielski
ringtail,ringtail
odiferous,zirusowy
overstimulated,overstymulowany
freshet,powódź
mycotic,mikotyczny
hoopoe,dudek ptak
corrosiveness,korozyjność
addle,zepsuć
unsocialized,niedoceniany
unscarred,nie noszący śladów
adman,specjalista ds. reklamy
undersell,sprzedawać taniej
stumbling,potknięcie się
crusading,wojujący
air-con,klimatyzacja
regularize,unormować
ditzy,głupawy
plumb,zgłębiać
cuirass,pancerz
ridiculed,szydzić
snuggly,wygodnie
resisting,opieranie się
